ANNUAL VISITOR SUMMARY BY STATE & SPOT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
State,Tourist Spot,Year,Total Visitors,Domestic,International,Intl %,YoY Growth
Andhra Pradesh,Amaravati Stupa,2015,152650,147441,5209,0.03412381264330167,0
Andhra Pradesh,Amaravati Stupa,2016,155748,151146,4602,0.02954773094999615,0.02029479200786111
Andhra Pradesh,Amaravati Stupa,2017,158647,153695,4952,0.03121395298997144,0.01861340113516707
Andhra Pradesh,Amaravati Stupa,2018,175179,170455,4724,0.02696670262988143,0.10420619362484
Andhra Pradesh,Amaravati Stupa,2019,170366,164597,5769,0.03386239038305765,-0.02747475439407687
Andhra Pradesh,Amaravati Stupa,2020,43854,42299,1555,0.03545856706343777,-0.7425894838171936
Andhra Pradesh,Amaravati Stupa,2021,94898,91530,3368,0.03549073742333874,1.163953117161491
Andhra Pradesh,Amaravati Stupa,2022,150917,145688,5229,0.0346481841011947,0.59030748803979
Andhra Pradesh,Amaravati Stupa,2023,185416,179321,6095,0.03287202830392199,0.228595850699391
Andhra Pradesh,Amaravati Stupa,2024,194373,188129,6244,0.03212380320311978,0.04830758942054625
Andhra Pradesh,Amaravati Stupa,2025,213007,204859,8148,0.03825226401010295,0.09586722435729245
Andhra Pradesh,Araku Valley,2015,242245,237828,4417,0.01823360647278582,0
Andhra Pradesh,Araku Valley,2016,259202,256025,3177,0.01225684986998557,0.06999938079217327
Andhra Pradesh,Araku Valley,2017,252710,249446,3264,0.01291599066123224,-0.02504610303932842
Andhra Pradesh,Araku Valley,2018,256289,251748,4541,0.01771827897412686,0.01416247873056076
Andhra Pradesh,Araku Valley,2019,270139,265244,4895,0.01812030103021037,0.05404055577882771
Andhra Pradesh,Araku Valley,2020,67341,66661,680,0.010097860144637,-0.7507172233553837
Andhra Pradesh,Araku Valley,2021,153163,150822,2341,0.01528437024607771,1.274439049019171
Andhra Pradesh,Araku Valley,2022,230767,226318,4449,0.0192791863654682,0.5066758943086778
Andhra Pradesh,Araku Valley,2023,287273,283274,3999,0.01392055640453506,0.2448617003297699
Andhra Pradesh,Araku Valley,2024,305842,301784,4058,0.01326828885502972,0.06463886268462393
Andhra Pradesh,Araku Valley,2025,337304,331550,5754,0.01705879562649716,0.1028701094028943
Andhra Pradesh,Belum Caves,2015,124513,119345,5168,0.04150570623147784,0
Andhra Pradesh,Belum Caves,2016,120519,116362,4157,0.03449248666185415,-0.03207697188245406
Andhra Pradesh,Belum Caves,2017,126953,122111,4842,0.03814009909178988,0.05338577319758708
Andhra Pradesh,Belum Caves,2018,136861,132424,4437,0.03241975434930331,0.07804463069009793
Andhra Pradesh,Belum Caves,2019,140917,135622,5295,0.03757531028903539,0.0296359079650157
Andhra Pradesh,Belum Caves,2020,34948,33738,1210,0.03462286826141697,-0.7519958557164856
Andhra Pradesh,Belum Caves,2021,76101,73582,2519,0.03310074769056911,1.177549502117432
Andhra Pradesh,Belum Caves,2022,122251,117215,5036,0.0411939370639095,0.6064309273202717
Andhra Pradesh,Belum Caves,2023,150600,144739,5861,0.03891766268260292,0.231891763666555
Andhra Pradesh,Belum Caves,2024,159011,152832,6179,0.0388589468653112,0.05584993359893753
Andhra Pradesh,Belum Caves,2025,159303,153147,6156,0.03864334005009322,0.001836350944274256
Andhra Pradesh,Borra Caves,2015,91951,90413,1538,0.01672629987710846,0
Andhra Pradesh,Borra Caves,2016,96182,93991,2191,0.02277973009502817,0.04601363769833933
Andhra Pradesh,Borra Caves,2017,96240,93523,2717,0.02823150457190357,0.0006030234347382812
Andhra Pradesh,Borra Caves,2018,102829,101216,1613,0.01568623637300761,0.06846425602660022
Andhra Pradesh,Borra Caves,2019,105261,103368,1893,0.01798386866930772,0.02365091559774002
Andhra Pradesh,Borra Caves,2020,26706,26003,703,0.02632367258294016,-0.7462877988998775
